JAN,1,7,4,2,-2,-4,-8,59,50,40,1019,1017,1015,16,16,16,45,24,53,0,
JAN,2,5,3,1,-6,-7,-8,52,47,41,1020,1017,1015,16,16,16,39,21,48,0,
JAN,3,9,6,2,-3,-5,-6,64,49,34,1014,1012,1009,16,16,16,37,23,47,0,
JAN,4,3,-3,-9,-4,-12,-18,59,44,29,1027,1017,1012,16,16,16,50,32,63,0,
JAN,5,-2,-6,-11,-12,-19,-22,58,40,21,1037,1035,1031,16,16,16,45,20,61,0,
JAN,6,4,-1,-6,-7,-11,-15,63,44,25,1036,1034,1030,16,16,16,23,12,27,0,
JAN,7,8,3,-3,-7,-10,-13,58,40,22,1029,1026,1023,16,16,16,21,6,24,0,
JAN,8,8,4,0,1,-2,-6,70,59,48,1024,1023,1022,16,16,16,26,14,29,0,
JAN,9,12,8,4,8,4,1,86,76,66,1023,1021,1018,16,16,13,34,19,42,0.51,
JAN,10,14,10,5,13,8,-4,96,73,49,1016,1001,992,16,9,0,56,34,71,32.51,"Fog , Rain"
JAN,11,5,1,-3,-7,-13,-18,51,39,26,1020,1013,1004,16,16,16,52,32,69,0,
JAN,12,7,1,-6,-1,-8,-16,75,56,37,1020,1012,1004,16,16,16,60,22,76,T,Rain
JAN,13,-1,-2,-4,-13,-15,-17,50,39,28,1017,1015,1008,16,16,16,50,34,64,0,
JAN,14,4,0,-4,-6,-11,-17,56,46,36,1016,1015,1013,16,16,14,35,17,45,T,Snow
JAN,15,11,5,-1,6,1,-6,86,71,56,1014,1010,1000,16,16,16,37,11,42,T,Rain
JAN,16,12,9,6,7,3,-1,93,72,50,1008,1000,994,16,15,10,34,22,42,8.38,Rain
JAN,17,6,3,-1,-1,-4,-7,92,70,48,1013,1009,1006,16,13,2,27,17,35,1.27,Snow
JAN,18,1,-3,-7,-3,-13,-18,78,55,31,1016,1010,1006,16,15,4,50,35,64,T,Snow
JAN,19,-1,-4,-8,-12,-16,-17,49,39,28,1021,1017,1015,16,16,16,52,35,71,0,
JAN,20,4,1,-2,-9,-9,-11,58,48,37,1024,1021,1019,16,16,16,45,19,53,0,
JAN,21,4,1,-3,-10,-12,-14,55,44,32,1025,1021,1019,16,16,16,39,22,48,0,
JAN,22,-1,-3,-6,-7,-14,-16,63,47,31,1027,1024,1020,16,15,2,32,19,40,0.25,Snow
JAN,23,-1,-2,-3,-3,-4,-7,92,84,75,1018,1007,1002,2,1,0,60,40,77,73.66,"Fog , Snow"
JAN,24,2,-3,-7,-7,-11,-14,75,57,38,1020,1013,1006,16,14,2,47,20,60,T,Snow
JAN,25,4,-1,-7,-1,-7,-11,77,62,47,1027,1025,1021,16,16,16,23,7,24,0,
JAN,26,7,4,2,2,1,-1,85,74,62,1023,1018,1014,16,16,16,26,15,34,T,Rain
JAN,27,7,3,-1,1,-4,-8,79,58,36,1021,1017,1014,16,16,16,37,18,45,T,Rain
JAN,28,6,1,-4,-3,-5,-8,78,62,45,1021,1013,1006,16,16,16,16,6,19,0,
JAN,29,6,3,-1,-2,-4,-9,75,60,44,1011,1002,998,16,16,16,45,21,63,T,Rain
JAN,30,4,1,-2,-3,-7,-9,64,56,47,1019,1017,1012,16,16,16,35,18,45,0,
JAN,31,9,5,1,4,1,-3,89,69,49,1016,1013,1009,16,16,16,29,14,37,0,
FEB,1,16,10,4,5,3,-2,89,68,47,1019,1011,1008,16,16,16,32,15,39,T,Rain
FEB,2,11,7,2,1,-3,-5,79,56,32,1029,1026,1020,16,16,16,23,9,26,0,
FEB,3,13,9,4,11,8,1,96,85,73,1027,1017,1009,16,12,0,60,26,72,11.18,Rain
FEB,4,13,9,6,11,5,-1,93,69,45,1019,1015,1012,16,13,0,39,15,47,1.02,Rain
FEB,5,6,3,0,-1,-3,-10,92,65,37,1027,1020,1016,16,9,0,47,28,58,11.94,"Fog , Rain , Snow"
FEB,6,3,-1,-5,-4,-7,-9,72,55,37,1031,1028,1026,16,16,16,23,14,-,0,
FEB,7,7,3,-2,-2,-4,-6,78,59,40,1025,1020,1013,16,16,16,27,11,34,0,
FEB,8,4,1,-2,-2,-3,-5,92,76,59,1011,1009,1007,16,12,0,42,24,53,4.06,"Fog , Snow"
FEB,9,3,0,-3,-3,-5,-6,85,71,56,1008,1004,1002,16,15,11,26,10,29,T,Snow
FEB,10,4,2,0,-1,-4,-10,85,65,44,1008,1004,1002,16,14,6,39,21,47,0.51,"Rain , Snow"
FEB,11,0,-3,-7,-7,-16,-21,63,45,27,1023,1014,1008,16,16,6,58,35,74,T,Snow
FEB,12,-3,-6,-8,-12,-17,-19,50,43,36,1026,1021,1014,16,16,16,42,19,53,T,Snow
FEB,13,-4,-9,-14,-11,-20,-27,65,45,24,1027,1019,1012,16,16,13,60,37,79,0,
FEB,14,-8,-13,-17,-22,-26,-28,49,36,22,1035,1032,1027,16,16,16,48,23,61,0,
FEB,15,7,-2,-11,5,-9,-22,96,65,33,1035,1029,1019,16,7,0,19,11,40,16.26,"Rain , Snow"
FEB,16,12,8,4,10,6,-2,92,79,65,1019,1006,997,16,10,2,71,30,89,8.64,Rain
FEB,17,5,4,2,-2,-3,-6,70,59,48,1023,1016,1009,16,16,16,37,20,45,0,
FEB,18,3,0,-3,-6,-14,-19,64,42,20,1034,1030,1023,16,16,16,39,25,48,0,
FEB,19,5,1,-4,2,-8,-15,79,56,33,1037,1032,1023,16,16,16,35,15,56,0,
FEB,20,15,10,4,3,1,-2,86,63,40,1022,1014,1010,16,16,16,40,22,48,0,
FEB,21,14,9,4,6,2,-1,83,61,38,1015,1013,1010,16,16,16,26,12,32,2.03,Rain
FEB,22,10,6,2,3,-1,-5,85,59,33,1025,1020,1015,16,16,16,24,12,29,0,
FEB,23,6,4,2,3,0,-8,92,68,44,1027,1025,1022,16,14,4,39,25,50,7.37,Rain
FEB,24,14,9,3,13,8,2,93,90,86,1022,1009,992,11,3,0,69,30,103,26.67,"Fog , Rain"
FEB,25,15,9,3,12,4,-2,93,73,52,1001,994,991,16,12,0,69,38,85,1.02,"Fog , Rain"
FEB,26,4,2,-2,-4,-12,-18,70,46,21,1020,1011,1002,16,16,16,50,33,66,0,
FEB,27,4,1,-2,-4,-9,-14,54,45,35,1021,1019,1016,16,16,16,45,23,56,0,
